company,ticker,title,body,date,replies
Goodyear,GT,Goodyear Tire Layoffs 2018,"I know that this sounds like a broken record (cliché, but a good one)…. Rumors - some folks are talking about possibly having layoffs in Akron.",2017-10-15,2
Goodyear,GT,Goodyear Tire Layoffs 2017,"I left a few years back right now - but still have good friend over there working, happily - now I am hearing that you may have job cuts in Akron.",2016-11-23,1
Goodyear,GT,Danville Va plant starting layoffs taday8/27/16,no body text,2016-08-27,1
Goodyear,GT,Goodyear Tire Layoffs 2016,What is the likelihood of Goodyear Tire layoffs in Akron in 2016? Please let me know if you have any information.,2015-11-05,0
Goodyear,GT,No layoffs in 2014,"Something might be brewing in Akron, OH",2014-09-12,0
Google Inc.,GOOG,Solving the wrong problems,"I love Google's tech but they have no idea how to sell to the enterprise. They seem to be more interested in solving problems they care about rather than the problems customers care about. Amazon is much more obsessed with customer success than...
read more",2018-11-22,1
Google Inc.,GOOG,Kurian Style,"Google Engineers should be concerned - here is how Kurian manages (Source: Oracle Experience): ""Who the Fk wrote this piece of crp? Didn't I tell you last week to go work on this? I did? Ok well I change my mind, put it back to the way it was 3 weeks...
read more",2018-11-16,5
Google Inc.,GOOG,Hiring Kurian as your Cloud CEO is asinine.,"Maybe Thomas can turn himself around. Otherwise, Google sold their soul. This wreaks of desperation. https://www.streetinsider.com/Reuters/Oracle+veteran+Thomas+Kurian+to+replace+Diane+Greene+as+Google+Cloud+CEO/14841077.html",2018-11-16,1
Google Inc.,GOOG,Time to replace Sundar Pichai as Google CEO,"Smart guy, but not doing a good job. Hard to tell if his poor leadership is part of what's causing the current wave of crises, or if the current wave of crises is showing how much he's not up to the task of leading Google. Google needs to find their...
read more",2018-11-07,3
Google Inc.,GOOG,#walkout,no body text,2018-11-02,0
Google Inc.,GOOG,Google Layoffs 2019,What's your prediction as it relates to the possibility of Google Layoffs in 2019?,2018-10-30,0
Google Inc.,GOOG,YouTube site is DOWN: Error 503 Internal Server Issues Returned - Google’s famous streaming site NOT WORKING,"YouTube site is DOWN: Error 503 Internal Server Issues Returned - Google’s famous streaming site NOT WORKING. This all started at 6:20 pm PDT, or 9:20 pm PDT. Error is being returned!",2018-10-17,1
Google Inc.,GOOG,who owns thelayoff?,is it g00gle?,2018-09-30,2
Google Inc.,GOOG,"Google buying HTC, will they layoff Pixel?","Now Google buying HTC, are they going to layoff the existing google pixel team? I heard they are building a huge pixel team.",2017-09-07,2
Google Inc.,GOOG,Google restricting access to progressive websites,"wsws.org fell by 67 percent alternet.org fell by 63 percent globalresearch.ca fell by 62 percent consortiumnews.com fell by 47 percent socialistworker.org fell by 47 percent mediamatters.org fell by 42 percent commondreams.org fell by 37 percent...
read more",2017-08-03,2
Google Inc.,GOOG,Stop hiring Microsoftee senior managers.,"Why is Google Kirkland hiring so many bad people from Microsoft??? The new group leader pm I just met in a meeting is from there, and what a bag of Dilbert crap she said.",2017-07-06,3
Google Inc.,GOOG,$2.7 billion EU fine,"I wrapped up my on-site interviews and felt that they went really well. Was just notified that the position is now ""on hold"" and that it had nothing to do with my performance in the interviews. Said that they were slowing down the process and...
read more",2017-06-28,1
Google Inc.,GOOG,Fiber,"layoffs happened two weeks ago in Charlotte, and this week in Durham. ""do no evil"" yea, right google team. Their local leaders, especially in Atlanta and Charlotte are clueless. Their sales team leader had never sold anything...any you failed Fiber...
read more",2017-04-03,0
Google Inc.,GOOG,Fiber let most (90%) of the contractors (TVC's) go from the google fiber program. Markets affected--Atlanta-Nashville-Durham-Charlotte.,no body text,2017-04-02,3
Google Inc.,GOOG,Google Mountain View 104 Layoff Permanent.. (04/03/2017),what is going here?... last month and then now... http://www.edd.ca.gov/jobs_and_training/warn/WARN-Report-for-7-1-2016-to-02-10-2017.pdf,2017-02-10,1
Google Inc.,GOOG,Per California WARN 94 to be laid off by Google in Mountan View in March 2017,"Filed 1/12/2017, last day of employment will be in March 13 2017 - this is very rare for Google, layoffs typically do not happen - they are probably eliminating a group or two as they divest (e.g., I heard that they are not pushing Google Fiber that...
read more",2017-01-28,1
Google Inc.,GOOG,any more info? Which departments? Thanks.,http://www.edd.ca.gov/jobs_and_training/warn/WARN-Report-for-7-1-2016-to-01-25-2017.pdf,2017-01-27,0
Google Inc.,GOOG,Google Fiber ordered to halve staff as Larry Page orders huge costs cut - move to wireless,"Google Fiber ordered to halve staff as Larry Page orders huge costs cut - move to wireless http://www.siliconbeat.com/2016/08/25/google-fiber-ordered-to-halve-staff-as-larry-page-orders-huge-costs-cut-report/...
read more",2016-08-27,2
